intensity,dens0,dens1,delta,treeid,method
-19.9,0.01833643176668803,0.01658933110841133,-0.00174710065827669,A-04-6978,manual clip
-19.700000000000003,0.01924417591355378,0.0170772526115999,-0.00216692330195387,A-04-6978,manual clip
-19.5,0.01926233079649075,0.01612580568038191,-0.00313652511610883,A-04-6978,manual clip
-19.299999999999997,0.0212230581537211,0.01900454254919475,-0.00221851560452634,A-04-6978,manual clip
-19.1,0.02191294370533906,0.01902893862435418,-0.00288400508098488,A-04-6978,manual clip
-18.9,0.02628827049323195,0.02195646764348559,-0.00433180284974635,A-04-6978,manual clip
-18.700000000000003,0.02416414918956611,0.02200525979380445,-0.00215888939576166,A-04-6978,manual clip
-18.5,0.0245635566141866,0.02271274597342747,-0.00185081064075912,A-04-6978,manual clip
-18.299999999999997,0.02737756346947084,0.02481080843713872,-0.00256675503233212,A-04-6978,manual clip
-18.1,0.02784959042584103,0.02600621611995071,-0.00184337430589031,A-04-6978,manual clip
-17.9,0.02892072851914261,0.02768954530595127,-0.00123118321319133,A-04-6978,manual clip
-17.700000000000003,0.02888441875326798,0.02651853369829871,-0.00236588505496926,A-04-6978,manual clip
-17.5,0.03069990704699892,0.0302267371225313,-4.7316992446762296e-4,A-04-6978,manual clip
-17.299999999999997,0.03242462092604439,0.03078784685119869,-0.00163677407484569,A-04-6978,manual clip
-17.1,0.03318712600941161,0.03193446238369182,-0.00125266362571978,A-04-6978,manual clip
-16.9,0.03685441236274921,0.0335446033442141,-0.00330980901853511,A-04-6978,manual clip
-16.700000000000003,0.03536571196188939,0.03215402706012668,-0.00321168490176271,A-04-6978,manual clip
-16.5,0.03845204206123224,0.0322272152856044,-0.00622482677562784,A-04-6978,manual clip
-16.299999999999997,0.04066693777958534,0.0345692385009101,-0.00609769927867524,A-04-6978,manual clip
-16.1,0.04144759774588988,0.03661850881430208,-0.00482908893158779,A-04-6978,manual clip
-15.9,0.03957764480334645,0.03493517962830152,-0.00464246517504492,A-04-6978,manual clip
-15.7,0.04616786730959134,0.03974120643470857,-0.00642666087488276,A-04-6978,manual clip
-15.5,0.04800151048626013,0.03893613595444744,-0.00906537453181268,A-04-6978,manual clip
-15.3,0.04979884389705473,0.04218081395065177,-0.00761802994640296,A-04-6978,manual clip
-15.1,0.05152355777609965,0.04225400217613005,-0.00926955559996959,A-04-6978,manual clip
-14.9,0.05706079707198068,0.0483774170411466,-0.00868338003083408,A-04-6978,manual clip
-14.7,0.05575364550049351,0.04623056242711648,-0.00952308307337702,A-04-6978,manual clip
-14.5,0.05844056817521609,0.04730398973413132,-0.01113657844108476,A-04-6978,manual clip
-14.3,0.06018343693719884,0.04903611107045116,-0.01114732586674768,A-04-6978,manual clip
-14.1,0.05849503282402856,0.04845060526662488,-0.01004442755740368,A-04-6978,manual clip
-13.9,0.06312452797304385,0.05252474981824943,-0.01059977815479442,A-04-6978,manual clip
-13.7,0.06550281763783151,0.05452522798132208,-0.01097758965650943,A-04-6978,manual clip
-13.5,0.06773586823912123,0.05564744743865577,-0.01208842080046545,A-04-6978,manual clip
-13.3,0.06613823854063813,0.05855058038262825,-0.00758765815800988,A-04-6978,manual clip
-13.1,0.06651949108232175,0.0631370425126008,-0.00338244856972094,A-04-6978,manual clip
-12.9,0.07477996281880002,0.06216119950622366,-0.01261876331257635,A-04-6978,manual clip
-12.7,0.07272846104688278,0.06455201487184707,-0.00817644617503571,A-04-6978,manual clip
-12.5,0.07329126241793954,0.06545466965274592,-0.00783659276519362,A-04-6978,manual clip
-12.3,0.07499782141404779,0.06830901044639963,-0.00668881096764815,A-04-6978,manual clip
-12.1,0.07577848138035233,0.0652838971266305,-0.01049458425372182,A-04-6978,manual clip
-11.9,0.08147911462266848,0.07060224151138528,-0.0108768731112832,A-04-6978,manual clip
-11.7,0.08186036716435281,0.07296866080185047,-0.00889170636250234,A-04-6978,manual clip
-11.5,0.08407526288270524,0.07289547257637218,-0.01117979030633306,A-04-6978,manual clip
-11.3,0.08398448846801791,0.07501793111524178,-0.00896655735277612,A-04-6978,manual clip
-11.1,0.08716159298204877,0.0772867661050693,-0.00987482687697947,A-04-6978,manual clip
-10.9,0.09235388950212,0.08258071441466454,-0.00977317508745545,A-04-6978,manual clip
