response,model,mean_diff,rmse,nrmse,r2,smdape,p
Delta intensity,Beta regression,0.7757565021503416,23.225001345067245,52.113968179070284,0.5380721711825087,39.6090017028164,4.840624789189196e-14
Delta intensity,Random forests,1.772659752845916e-14,20.381916452259645,43.2457636902188,0.6253969215018181,31.082704041601907,1.9309630237883402e-55
Intensity,Beta regression,-1.8275916245053994,19.37447050338041,44.5794658872816,0.6603628585804523,33.31193823087883,5.019205484058236e-19
Intensity,Random forests,1.3852973291293598e-14,18.74105087730791,39.764222341151466,0.6832845954041136,30.229829710644594,1.3108733922473212e-64
